"SYMBOL 
","OPEN 
","HIGH 
","LOW 
","PREV. CLOSE 
","LTP 
","INDICATIVE CLOSE 
","CHNG 
","%CHNG 
","VOLUME 
(shares)","VALUE 
 (₹ Crores)","52W H 
","52W L 
","30 D   %CHNG 
","365 D % CHNG 
 01-Apr-2024"
"NIFTY 50","23,150.30","23,306.50","23,145.80","23,332.35","23,250.10","-","-82.25","-0.35","28,31,96,379","23,501.24","26,277.35","21,281.45","5.48","3.92"
"POWERGRID","289.35","299.95","285.10","286.75","299.95","-","13.20","4.60","2,34,78,876","694.93","366.25","247.30","13.56","2.58"
"SUNPHARMA","1,755.00","1,812.70","1,750.00","1,713.65","1,772.00","-","58.35","3.41","57,15,573","1,020.09","1,960.35","1,377.20","8.11","5.63"
"CIPLA","1,482.00","1,523.30","1,480.00","1,452.35","1,500.00","-","47.65","3.28","34,88,899","523.68","1,702.05","1,317.25","3.18","-2.49"
"ULTRACEMCO","11,189.00","11,650.05","11,155.00","11,250.95","11,595.10","-","344.15","3.06","3,61,884","416.47","12,145.35","9,250.00","8.80","12.08"
"SHRIRAMFIN","633.00","660.55","632.00","639.40","654.10","-","14.70","2.30","37,04,676","241.74","730.45","438.60","2.91","-74.07"
"NTPC","351.75","361.35","351.75","351.75","359.25","-","7.50","2.13","1,03,17,410","369.43","448.45","292.80","11.88","2.02"
"ADANIENT","2,339.75","2,429.90","2,339.70","2,369.40","2,414.00","-","44.60","1.88","10,23,200","245.97","3,743.90","2,025.00","11.92","-27.51"
"BEL","283.00","288.25","282.60","282.40","287.50","-","5.10","1.81","2,09,68,721","599.71","340.50","212.60","9.72","27.78"
"ASIANPAINT","2,295.00","2,354.90","2,289.80","2,306.65","2,347.70","-","41.05","1.78","6,08,846","142.44","3,394.90","2,124.75","6.47","-19.75"
"GRASIM","2,595.10","2,664.00","2,595.10","2,616.50","2,652.00","-","35.50","1.36","2,98,330","78.86","2,877.75","2,171.60","10.05","13.45"
"NESTLEIND","2,198.05","2,249.05","2,195.00","2,210.70","2,240.00","-","29.30","1.33","3,17,858","70.82","2,778.00","2,110.00","1.15","-15.73"
